"samples","PGS000212","PGS000213","PGS000214","PGS000215","PGS000216"
"C000022",0.0176900039589957,0.0841321425834649,0.795269563989374,0.747997826249359,-0.121797263552685
"C000055",-0.033909994132118,0.215669171995392,0.925808678300187,1.42828391613276,0.332332639695219
"C002367",-2.34409996996867,-1.8897115495745,-1.48397871788029,-0.945662358486938,-1.70360468857139
"C002449",-0.285650008802769,0.149156287409905,0.0531470617507827,1.06840514636268,0.32592484561529
"C002569",0.455029981137487,0.636886276015744,1.06070149530259,1.04867602304028,0.476484397793064
"C002588",0.466190008957636,0.70887098082963,1.31417877142406,1.06261844069377,1.02716573919289
"C002779",1.54936999148573,0.76750627830572,1.6307437906213,1.99551138452559,0.685495452519911
"C002798",0.956469989703036,1.07956045044863,2.09210972852031,2.22215952959959,0.896986982923935
"C003114",1.25654000028386,1.39041401106863,1.64993841415763,2.198026546122,1.85155120734891
"C003255",-0.784470010485967,-0.644539457469497,-0.298397237343816,0.568188363999595,0.100061594336708
"C003344",-0.02479000584688,0.418780603185872,0.943850194716545,1.27340002325909,0.723967827165856
"C003871",0.226660005074228,1.0985788984851,1.23251239726487,0.376449181444031,0.260890544033214
"C004559",0.823169980755772,0.454042085893229,0.815985945956086,1.08107670878637,-0.258768842927628
"C005001",1.77211001561256,1.17889982721346,1.67602014864021,1.72792671307329,1.0614177695076
"C005010",0.257940020613606,-0.0170130079743373,0.198326480854159,0.889140814063313,0.162909638219806
"C005020",0.322469992232507,0.123738019124164,1.19276561444127,0.509405747584944,-0.122075104125147
"C005206",1.30867999804788,1.01281817823834,1.65327201820415,0.921883228445928,-0.0853420638453387
"C005754",0.982070012183396,1.06689366493484,1.81860478271024,1.66005717972736,0.603528923529215
"C005856",-0.125040018508443,0.622894751565876,0.651354883005861,1.56054810097162,1.08636824417479
"C006005",0.0739900019706712,-0.419771300296245,0.880431402985203,0.24669727373426,-1.10869693298527
"C006528",0.269439996688159,0.255888736132207,0.688298709226529,0.851905690314077,-0.421736635485989
"C006729",1.11191000083578,0.914902662611951,1.35473175066088,1.55902391615954,0.444180353174927
"C006842",1.36629999705474,0.899171536802903,1.43530522917106,0.491092985060405,-0.322298970234524
"C006856",0.845279997015605,0.296381996093088,1.04667168678907,1.46055716921084,0.106791046351476
"C006897",-0.129360019484302,0.477432734148316,0.779591168226482,0.710839161469665,0.792631744898629
"C007247",0.0317799960321274,-0.321353410156227,0.547502074307858,1.04198678109175,-0.42596849049986
"C007638",0.233490012909752,0.807959242515532,1.04481123964924,1.55240611309494,1.13108393844189
"C007794",0.0945699976198389,-0.0506120254248976,0.530260032710901,0.70668333548015,-1.03391282675791
"C008229",2.51521999654127,2.08114847131978,2.67972863991903,1.9416062305481,1.57271209300428
"C008840",0.741860022153705,0.663835670008983,0.914198905020617,1.74502609716758,0.773319379512562
"C009071",0.877750009797747,1.04382081253649,1.48004687562818,1.37498662672695,0.87074855730946
"C009090",2.08993998213206,1.12935153084854,2.64240865462263,2.43481107314829,1.35949140803476
"C009319",0.67317001363961,0.33087006807961,1.03505941432451,0.377325842344567,-0.664453256119248
"C009468",0.580000001608859,0.601638071281561,1.25651033221525,1.48452857490531,0.345005358134571
"C009552",-0.186329983860486,0.221604278509369,0.842239327087509,0.694853825343961,-0.124957787369548
"C010029",-0.164290005972143,0.112914052453016,0.727100786678267,1.89660870922065,0.610569677789744
"C010038",0.00130999242188261,-0.647539310955505,0.619477557503172,0.50657152868968,-1.16185971488718
"C010046",1.19374998744577,0.77796323323055,1.37565554326649,0.042407681568344,-0.5506011768427
"C010058",2.26577998078661,1.80120775569274,2.95304703893679,1.68391320539229,0.0681758237769003
"C010093",0.826280007963068,0.316355126662371,0.699253446131133,-0.0520169598798911,-1.11903004567171
